,añoLance,catch,catchsd,catchn,catche,catchl,catchr,,
1,1997,548111,1026.982286,964,64.8294783,548046.1705,548175.8295,,548.111
2,1998,249777,512.7165518,1056,30.92384372,249746.0762,249807.9238,,249.777
3,1999,496021,1121.355268,1103,66.17646472,495954.8235,496087.1765,,496.021
4,2000,311775,764.6276985,1008,47.20280979,311727.7972,311822.2028,,311.775
5,2001,527672,977.4889843,1241,54.38436627,527617.6156,527726.3844,,527.672
6,2002,330178,636.0017587,972,39.9828065,330138.0172,330217.9828,,330.178
7,2003,469933,1425.824739,701,105.5492685,469827.4507,470038.5493,,469.933
8,2004,1325978,2053.818111,1035,125.1237914,1325852.876,1326103.124,,1325.978
9,2005,905674,1845.669585,916,119.5237773,905554.4762,905793.5238,,905.674
10,2006,1316991,1547.615307,1176,88.4519571,1316902.548,1317079.452,,1316.991
11,2007,556233,1136.453091,968,71.59157658,556161.4084,556304.5916,,556.233
12,2008,579591,1242.801038,786,86.88372359,579504.1163,579677.8837,,579.591
13,2009,2050267,2029.629763,1354,108.1074396,2050158.893,2050375.107,,2050.267
14,2010,1241520,1498.704244,1208,84.51437049,1241435.486,1241604.514,,1241.52
15,2011,777472,1532.551042,729,111.2498091,777360.7502,777583.2498,,777.472
16,2012,471940,1434.234874,569,117.8452918,471822.1547,472057.8453,,471.94
17,2013,235667,1203.063913,262,145.6753752,235521.3246,235812.6754,,235.667
18,2014,506430,1877.760246,368,191.8511126,506238.1489,506621.8511,,506.43
19,2015,539391,1304.890466,624,102.3834722,539288.6165,539493.3835,,539.391
20,2016,626297,1371.42095,780,96.2435357,626200.7565,626393.2435,,626.297
21,2017,335685,1115.057372,562,92.18858447,335592.8114,335777.1886,,335.685
22,2018,110611,729.0388658,364,74.89418184,110536.1058,110685.8942,,110.611
23,2019,159781,962.8657312,384,96.30486107,159684.6951,159877.3049,,159.781
24,2020,31972,275.7278733,216,36.77069907,31935.2293,32008.7707,,31.972
25,2021,1870,76.48069757,24,30.5980895,1839.40191,1900.59809,,1.87
