"","añoLance","catch","catchsd","catchn","catche","catchl","catchr"
"1",1997,134978,1423.68003829929,254,175.082858471552,134802.917141528,135153.082858472
"2",1998,255220,1285.10340512201,371,130.767316185215,255089.232683815,255350.767316185
"3",1999,426119,1158.36469063974,1021,71.0526910152677,426047.947308985,426190.052691015
"4",2000,505417,1487.25157585872,881,98.2074816673876,505318.792518333,505515.207481667
"5",2001,859870,1418.13971581615,1390,74.5520707294728,859795.447929271,859944.552070729
"6",2002,1120235,2339.17468638389,961,147.893488350329,1120087.10651165,1120382.89348835
"7",2003,1083479,2313.90205556419,912,150.174309501145,1083328.8256905,1083629.1743095
"8",2004,1272155,1991.90042396862,1298,108.362338533461,1272046.63766147,1272263.36233853
"9",2005,872653,1753.66680176909,1075,104.831292267946,872548.168707732,872757.831292268
"10",2006,1441503,1718.93122203823,1643,83.1166076230778,1441419.88339238,1441586.11660762
"11",2007,2010388,2457.55428692628,1515,123.749910838335,2010264.25008916,2010511.74991084
"12",2008,1779633,2685.77101570611,1280,147.133677130854,1779485.86632287,1779780.13367713
"13",2009,2641169,2978.80847652454,1588,146.509377461553,2641022.49062254,2641315.50937746
"14",2010,1852545,2565.24985030314,1304,139.231969430785,1852405.76803057,1852684.23196943
"15",2011,2462955,3145.56169750679,1307,170.533028648318,2462784.46697135,2463125.53302865
"16",2012,1525293,2678.64169785676,1038,162.953630005576,1525130.04636999,1525455.95363001
"17",2013,1047722,3287.39792893717,498,288.725868802962,1047433.2741312,1048010.7258688
"18",2014,2031674,3540.86271773431,823,241.911916746044,2031432.08808325,2031915.91191675
"19",2015,2056446,3554.48895550415,937,227.59119948023,2056218.40880052,2056673.59119948
"20",2016,4077016,3365.23753148795,1724,158.852913327999,4076857.14708667,4077174.85291333
"21",2017,2247575,2582.25290431138,1481,131.513197304528,2247443.4868027,2247706.5131973
"22",2018,2998219,3405.41046271022,1601,166.809926527629,2998052.19007347,2998385.80992653
"23",2019,1375109,2286.93603487577,1002,141.601628463068,1374967.39837154,1375250.60162846
"24",2020,757746,2448.40072163138,564,202.064973324195,757543.935026676,757948.064973324
"25",2021,242638,1909.43024892733,242,240.571516756122,242397.428483244,242878.571516756
