,añoLance,cpue,cpuesd,cpuen,cpuee,cpuel,cpuer,,
1,1997,289.5499352,1010.921713,254,124.3222202,165.227715,413.8721554,,0.289549935
2,1998,247.6927147,627.132551,371,63.8146629,183.8780518,311.5073776,,0.247692715
3,1999,168.5406342,621.2213277,1021,38.10496591,130.4356683,206.6456001,,0.168540634
4,2000,211.4240117,601.8943995,881,39.74481128,171.6792004,251.168823,,0.211424012
5,2001,290.54147,784.8936493,1390,41.26211699,249.279353,331.803587,,0.29054147
6,2002,509.3616295,1016.108301,961,64.24308626,445.1185432,573.6047157,,0.509361629
7,2003,453.5260661,884.3893448,912,57.39765816,396.1284079,510.9237243,,0.453526066
8,2004,465.9867909,1003.680892,1298,54.60172971,411.3850612,520.5885206,,0.465986791
9,2005,341.648219,846.8491928,1075,50.62323991,291.0249791,392.2714589,,0.341648219
10,2006,335.597274,690.6869684,1643,33.39723952,302.2000345,368.9945136,,0.335597274
11,2007,539.3145433,1070.93888,1515,53.92702477,485.3875185,593.241568,,0.539314543
12,2008,512.2360294,958.794318,1280,52.52530197,459.7107274,564.7613313,,0.512236029
13,2009,813.5834689,1419.602877,1588,69.8215865,743.7618824,883.4050554,,0.813583469
14,2010,593.8703809,1105.77311,1304,60.01714329,533.8532376,653.8875242,,0.593870381
15,2011,723.1834345,1258.765323,1307,68.24252187,654.9409127,791.4259564,,0.723183435
16,2012,561.3386608,1040.858252,1038,63.32001423,498.0186466,624.6586751,,0.561338661
17,2013,896.7974958,1518.144086,498,133.3356897,763.4618061,1030.133186,,0.896797496
18,2014,934.9962937,1397.065943,823,95.4476146,839.5486791,1030.443908,,0.934996294
19,2015,821.0702129,1451.595213,937,92.94452725,728.1256857,914.0147402,,0.821070213
20,2016,822.9200219,1282.00436,1724,60.5158256,762.4041963,883.4358475,,0.822920022
21,2017,545.4118752,1017.898189,1481,51.84118301,493.5706922,597.2530582,,0.545411875
22,2018,653.0570095,1328.602701,1601,65.08000176,587.9770078,718.1370113,,0.65305701
23,2019,435.4196354,858.8602077,1002,53.178577,382.2410584,488.5982124,,0.435419635
24,2020,397.9226845,832.124604,564,68.67472078,329.2479637,466.5974053,,0.397922685
25,2021,254.0048473,480.7452557,242,60.56969895,193.4351484,314.5745463,,0.254004847
